luminosity_distance theta_jn
2114.7928060091676 2.196257537296403
3237.683525519246 2.795503337556052
1805.2874782689873 1.862047790313838
1991.9471008338353 0.931628372019017
1948.0806388170438 0.9777379094440151
2787.019989432764 0.3870536957586464
3288.1802172699317 2.5796390551819686
3777.66960614524 2.9187123780956323
1859.9486621906362 1.0724581714167005
2209.1984464264174 2.010264613474835
1630.672405520258 1.5472008070011471
2879.8634753271913 2.2709511068994614
3058.0833433907396 2.335137201182616
3196.7436041163855 2.3936717789227684
4020.311025631003 2.8272580685409956
2281.8015848193177 0.8572720425944378
4205.770595520735 2.949687604120878
3773.6024526686347 2.6342324451461048
2648.628266160866 2.1400738563084247
3974.496767266623 2.734342165088202
2546.535027330222 2.0929207282867934
2787.3574787719767 2.1830486348505307
2308.882287044856 0.8619884745588136
4051.740107714631 2.734225372735843
2765.046078237938 2.1651892192184037
4458.893144587825 3.0147465586915025
4505.950534686688 3.036462400074947
1862.1699122430928 1.2172786296635718
2665.3101837348595 0.6685552037130212
4562.997414221097 3.036751098286326
2425.095474994568 0.8204293771088016
3600.001687647977 2.44133708647949
1980.768762510478 1.1191042932229227
3848.234834914432 2.536904358947963
3496.4825551515764 2.3934953535474923
2696.766033740679 2.0929150172133975
2461.748987079043 1.9975929253478057
2969.5060267763683 0.4811594254755203
2348.1298791056147 1.9455611412753195
3998.339967337464 2.5848805305803024
3493.1460232309146 2.3801132964025675
4147.002249482493 2.652025641213214
3893.986764670523 2.5264046450838853
2352.7831522557167 1.9389691031792238
1775.7338532104823 1.431413594717897
2733.7129242371307 0.6520306892579482
4321.798315712664 2.706047114046571
1799.3255982289347 1.5375541660189678
3366.4346969214953 2.309161276409663
4332.599339854043 2.7014446988866214
3839.4059324732502 2.4823805586757093
4559.529563341628 2.8351928246947615
3404.6579567933586 2.313187610662191
3464.6420323530324 2.3321316125438987
2565.3111727812466 0.7672838763495596
3555.8859153464064 2.360886146375756
2668.422646302018 2.045876459059589
4442.233747975729 2.7232683425477906
4595.176800675502 2.8014580676911813
4676.827606753722 2.851400247906239
4338.169578788336 2.654429276792612
4629.587459402585 2.798955132490539
2730.804524823925 2.055771864201892
3525.134072403198 2.3302039380148014
3159.3086983758562 2.2044315493838407
4221.605471513344 2.5895244427171624
4335.392697984224 2.6380745588868506
3993.1348748758633 2.4954163590553655
3586.9043087653954 2.3367166805532746
4609.545925146968 2.7455497739933126
3230.798111192834 2.213811286790255
2141.564591262457 1.0522812720964785
1900.091230668071 1.2724678509886103
3182.8209917306767 0.3927687673464083
1895.2482575843512 1.5935064296672379
4569.676965097799 2.6725821027666066
4902.656808618249 2.8478967187419424
2924.632354265774 0.5848481489540426
4451.910964905712 2.6143530288704837
4679.04654255328 2.7082594444082853
2846.5699880167144 2.0593628664640393
2740.0526427150453 2.0196292266944664
2622.1672215185918 0.7731118230372975
1857.4921795382045 1.488638030698727
3619.906380994313 2.2999675549485588
3310.9178178513653 2.1993933029410853
3949.971367981331 2.396976650663431
3005.1189866429786 2.0992221613027855
4893.645562577409 2.7529678470928833
